Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Breanna Stewart (15256293),Breanna Stewart,15256293,F/UTIL,12200,WAS@SEA 09/02/2020 10:00PM ET,SEA,40.62
SF/PF,Napheesa Collier (15256295),Napheesa Collier,15256295,F/UTIL,11500,MIN@CHI 09/02/2020 07:00PM ET,MIN,37.81
SF/PF,Candace Parker (15256297),Candace Parker,15256297,F/UTIL,10800,LA@DAL 09/02/2020 08:00PM ET,LA,35.34
PG/SG,Courtney Vandersloot (15256299),Courtney Vandersloot,15256299,G/UTIL,10600,MIN@CHI 09/02/2020 07:00PM ET,CHI,34.5
PG/SG,Arike Ogunbowale (15256301),Arike Ogunbowale,15256301,G/UTIL,10400,LA@DAL 09/02/2020 08:00PM ET,DAL,34.05
SF/PF,Myisha Hines-Allen (15256303),Myisha Hines-Allen,15256303,F/UTIL,9900,WAS@SEA 09/02/2020 10:00PM ET,WAS,33.13
SF/PF,Satou Sabally (15256305),Satou Sabally,15256305,F/UTIL,9700,LA@DAL 09/02/2020 08:00PM ET,DAL,29.42
SF/PF,Emma Meesseman (15256307),Emma Meesseman,15256307,F/UTIL,9500,WAS@SEA 09/02/2020 10:00PM ET,WAS,29.65
PG/SG,Kahleah Copper (15256309),Kahleah Copper,15256309,G/UTIL,9300,MIN@CHI 09/02/2020 07:00PM ET,CHI,26.59
SF/PF,Sylvia Fowles (15256311),Sylvia Fowles,15256311,F/UTIL,9100,MIN@CHI 09/02/2020 07:00PM ET,MIN,32.29
PG/SG,Chelsea Gray (15256313),Chelsea Gray,15256313,G/UTIL,8900,LA@DAL 09/02/2020 08:00PM ET,LA,27.47
SF/PF,Natasha Howard (15256315),Natasha Howard,15256315,F/UTIL,8800,WAS@SEA 09/02/2020 10:00PM ET,SEA,22.16
SF/PF,Damiris Dantas (15256317),Damiris Dantas,15256317,F/UTIL,8600,MIN@CHI 09/02/2020 07:00PM ET,MIN,24.56
PG/SG,Jewell Loyd (15256319),Jewell Loyd,15256319,G/UTIL,8500,WAS@SEA 09/02/2020 10:00PM ET,SEA,24.94
PG/SG,Crystal Dangerfield (15256321),Crystal Dangerfield,15256321,G/UTIL,8400,MIN@CHI 09/02/2020 07:00PM ET,MIN,24.67
PG/SG,Allie Quigley (15256323),Allie Quigley,15256323,G/UTIL,8300,MIN@CHI 09/02/2020 07:00PM ET,CHI,24.78
SF/PF,Nneka Ogwumike (15256325),Nneka Ogwumike,15256325,F/UTIL,8200,LA@DAL 09/02/2020 08:00PM ET,LA,21.5
PG/SG,Ariel Atkins (15256327),Ariel Atkins,15256327,G/UTIL,8100,WAS@SEA 09/02/2020 10:00PM ET,WAS,24.58
SF/PF,Alysha Clark (15256329),Alysha Clark,15256329,F/UTIL,8000,WAS@SEA 09/02/2020 10:00PM ET,SEA,23.84
SF/PF,Gabby Williams (15256331),Gabby Williams,15256331,F/UTIL,7900,MIN@CHI 09/02/2020 07:00PM ET,CHI,18.12
PG/SG,Allisha Gray (15256333),Allisha Gray,15256333,G/UTIL,7800,LA@DAL 09/02/2020 08:00PM ET,DAL,21.80
SF/PF,Cheyenne Parker (15256335),Cheyenne Parker,15256335,F/UTIL,7700,MIN@CHI 09/02/2020 07:00PM ET,CHI,24.97
PG/SG,Jordin Canada (15256337),Jordin Canada,15256337,G/UTIL,7500,WAS@SEA 09/02/2020 10:00PM ET,SEA,21.09
PG/SG,Marina Mabrey (15256339),Marina Mabrey,15256339,G/UTIL,7400,LA@DAL 09/02/2020 08:00PM ET,DAL,18.25
PG/SG,Leilani Mitchell (15256343),Leilani Mitchell,15256343,G/UTIL,7200,WAS@SEA 09/02/2020 10:00PM ET,WAS,20.13
PG/SG,Brittney Sykes (15256345),Brittney Sykes,15256345,G/UTIL,7100,LA@DAL 09/02/2020 08:00PM ET,LA,18.62
