Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Napheesa Collier (15216551),Napheesa Collier,15216551,F/UTIL,11400,MIN@ATL 08/28/2020 07:00PM ET,MIN,36.25
SF/PF,Candace Parker (15216553),Candace Parker,15216553,F/UTIL,10900,LA@CON 08/28/2020 08:00PM ET,LA,36.98
PG/SG,DeWanna Bonner (15216555),DeWanna Bonner,15216555,G/UTIL,10700,LA@CON 08/28/2020 08:00PM ET,CON,37.79
SF/PF,Brittney Griner (15216557),Brittney Griner,15216557,F/UTIL,10500,WAS@PHO 08/28/2020 10:00PM ET,PHO,34.75
SF/PF,Myisha Hines-Allen (15216559),Myisha Hines-Allen,15216559,F/UTIL,10300,WAS@PHO 08/28/2020 10:00PM ET,WAS,33.10
SF/PF,Alyssa Thomas (15216561),Alyssa Thomas,15216561,F/UTIL,10100,LA@CON 08/28/2020 08:00PM ET,CON,35.82
PG/SG,Diana Taurasi (15216563),Diana Taurasi,15216563,G/UTIL,10000,WAS@PHO 08/28/2020 10:00PM ET,PHO,34.61
SF/PF,Emma Meesseman (15216565),Emma Meesseman,15216565,F/UTIL,9900,WAS@PHO 08/28/2020 10:00PM ET,WAS,30.73
PG/SG,Courtney Williams (15216569),Courtney Williams,15216569,G/UTIL,9500,MIN@ATL 08/28/2020 07:00PM ET,ATL,27.58
SF/PF,Sylvia Fowles (15216567),Sylvia Fowles,15216567,F/UTIL,9400,MIN@ATL 08/28/2020 07:00PM ET,MIN,32.29
PG/SG,Betnijah Laney (15216571),Betnijah Laney,15216571,G/UTIL,9300,MIN@ATL 08/28/2020 07:00PM ET,ATL,30.96
PG/SG,Chennedy Carter (15216573),Chennedy Carter,15216573,G/UTIL,9100,MIN@ATL 08/28/2020 07:00PM ET,ATL,27.09
SF/PF,Damiris Dantas (15216575),Damiris Dantas,15216575,F/UTIL,8800,MIN@ATL 08/28/2020 07:00PM ET,MIN,23.98
PG/SG,Ariel Atkins (15216577),Ariel Atkins,15216577,G/UTIL,8600,WAS@PHO 08/28/2020 10:00PM ET,WAS,25.5
PG/SG,Skylar Diggins-Smith (15216581),Skylar Diggins-Smith,15216581,G/UTIL,8500,WAS@PHO 08/28/2020 10:00PM ET,PHO,27.25
SF/PF,Nneka Ogwumike (15216579),Nneka Ogwumike,15216579,F/UTIL,8400,LA@CON 08/28/2020 08:00PM ET,LA,22.69
SF/PF,Brianna Turner (15216583),Brianna Turner,15216583,F/UTIL,8300,WAS@PHO 08/28/2020 10:00PM ET,PHO,21.39
PG/SG,Jasmine Thomas (15216585),Jasmine Thomas,15216585,G/UTIL,8200,LA@CON 08/28/2020 08:00PM ET,CON,23.64
SF/PF,Monique Billings (15216587),Monique Billings,15216587,F/UTIL,8100,MIN@ATL 08/28/2020 07:00PM ET,ATL,25
PG/SG,Bria Hartley (15216589),Bria Hartley,15216589,G/UTIL,8000,WAS@PHO 08/28/2020 10:00PM ET,PHO,28.94
PG/SG,Crystal Dangerfield (15216591),Crystal Dangerfield,15216591,G/UTIL,7900,MIN@ATL 08/28/2020 07:00PM ET,MIN,22.96
PG/SG,Chelsea Gray (15216593),Chelsea Gray,15216593,G/UTIL,7800,LA@CON 08/28/2020 08:00PM ET,LA,26.02
SF/PF,Brionna Jones (15216595),Brionna Jones,15216595,F/UTIL,7700,LA@CON 08/28/2020 08:00PM ET,CON,23.36
SF/PF,Tianna Hawkins (15216597),Tianna Hawkins,15216597,F/UTIL,7600,WAS@PHO 08/28/2020 10:00PM ET,WAS,19.1
PG/SG,Brittney Sykes (15216599),Brittney Sykes,15216599,G/UTIL,7400,LA@CON 08/28/2020 08:00PM ET,LA,19.10
SF/PF,Elizabeth Williams (15216601),Elizabeth Williams,15216601,F/UTIL,7200,MIN@ATL 08/28/2020 07:00PM ET,ATL,22.45
PG/SG,Lexie Brown (15216603),Lexie Brown,15216603,G/UTIL,7100,MIN@ATL 08/28/2020 07:00PM ET,MIN,20.25
PG/SG,Leilani Mitchell (15216605),Leilani Mitchell,15216605,G/UTIL,6900,WAS@PHO 08/28/2020 10:00PM ET,WAS,19.25
PG/SG,Bridget Carleton (15216607),Bridget Carleton,15216607,G/UTIL,6800,MIN@ATL 08/28/2020 07:00PM ET,MIN,15.12
PG/SG,Riquna Williams (15216609),Riquna Williams,15216609,G/UTIL,6700,LA@CON 08/28/2020 08:00PM ET,LA,19.77
PG/SG,Stella Johnson (15216611),Stella Johnson,15216611,G/UTIL,6500,WAS@PHO 08/28/2020 10:00PM ET,WAS,10.83
SF/PF,Alanna Smith (15216613),Alanna Smith,15216613,F/UTIL,6400,WAS@PHO 08/28/2020 10:00PM ET,PHO,14.14
PG/SG,Blake Dietrick (15216615),Blake Dietrick,15216615,G/UTIL,6100,MIN@ATL 08/28/2020 07:00PM ET,ATL,13.66
